database,pathway,genes
PID,PID_SYNDECAN_4_PATHWAY,"['CXCR4', 'LAMA1', 'DNM2', 'PLG', 'PTK2', 'FGF2', 'GIPC1', 'NUDT16L1', 'MDK', 'TNFRSF13B', 'F2', 'FZD7', 'TFPI', 'FGF6', 'MMP9', 'RHOA', 'ADAM12', 'ACTN1', 'THBS1', 'PRKCD', 'FN1', 'TNC', 'ITGA5', 'LAMA3', 'ITGB1', 'SDCBP', 'CCL5', 'SDC4', 'FGFR1', 'CXCL12', 'PRKCA', 'RAC1']"
PID,PID_ATF2_PATHWAY,"['JUNB', 'CDK4', 'ESR1', 'NOS2', 'HRK', 'DDIT3', 'PDGFRA', 'MACROH2A1', 'BCL2', 'EP300', 'SOCS3', 'PLAU', 'IL23A', 'ARG1', 'MAPK8', 'GADD45A', 'DUSP1', 'JDP2', 'DUSP10', 'SELE', 'MAPK14', 'CBFB', 'DUSP8', 'MAPK1', 'TGFB2', 'CXCL8', 'RB1', 'PRKCA', 'MAPK3', 'CUL3', 'ACHE', 'CCND1', 'CCNA2', 'DUSP5', 'ATF3', 'RUVBL2', 'CREB1', 'KAT5', 'MMP2', 'JUN', 'JUND', 'IFNG', 'HES1', 'BRCA1', 'TH', 'POU2F1', 'MAPK11', 'ATF2', 'NF1', 'INS', 'MAPK9', 'SERPINB5', 'COL24A1', 'BCL2L1', 'PPARGC1A', 'CSRP2', 'HBG2', 'FOS', 'IL6']"
PID,PID_AP1_PATHWAY,"['DMP1', 'IL4', 'MYC', 'TP53', 'COL1A2', 'NPPA', 'CCL2', 'FOSL1', 'GATA2', 'EGR1', 'CBFB', 'NR3C1', 'IL5', 'CDKN1B', 'HLA-A', 'IL2', 'MAFG', 'JUND', 'PLAU', 'TH', 'MAF', 'SP1', 'NTS', 'GJA1', 'TCF7L2', 'MMP9', 'ETS1', 'MYB', 'ELF1', 'NFATC3', 'CREB1', 'IL6', 'MT2A', 'TIMP1', 'DUSP1', 'DMTF1', 'ATF2', 'FOSL2', 'TRIP6', 'ACTA1', 'COPS5', 'CDK1', 'CCN1', 'CRTC1', 'FABP4', 'BAG1', 'EDN1', 'IL10', 'BCL2L11', 'EP300', 'CSF2', 'CCND1', 'JUNB', 'NFATC1', 'MMP1', 'FOSB', 'TGFB1', 'CXCL8', 'ATF3', 'AGT', 'HIF1A', 'PTEN', 'FOS', 'CDKN2A', 'ESR1', 'PENK', 'CTNNB1', 'IFNG', 'JUN', 'NFATC2']"
PID,PID_UPA_UPAR_PATHWAY,"['ELANE', 'MMP12', 'MMP3', 'PDGFD', 'VTN', 'FGA', 'VLDLR', 'TGFB1', 'ITGA5', 'GPLD1', 'KLK4', 'FPR1', 'LRP1', 'FN1', 'PDGFRB', 'NCL', 'ITGB5', 'ITGAM', 'RAC1', 'ITGB3', 'CRK', 'DOCK1', 'EGFR', 'HGF', 'PLAUR', 'PLG', 'PLAU', 'CTSG', 'MMP9', 'FPR3', 'SERPINE1', 'FGB', 'MMP13', 'BCAR1', 'FGG', 'CTRC', 'ITGB1', 'ITGB2', 'SRC', 'ITGA3', 'ITGAV', 'FPR2']"
PID,PID_ERBB2_ERBB3_PATHWAY,"['MAP2K2', 'FOS', 'AKT1', 'MAPK10', 'MTOR', 'MAPK3', 'MAPK8', 'BAD', 'RNF41', 'SRC', 'HRAS', 'STAT3', 'NRG2', 'CHRNE', 'MAPK9', 'NFATC4', 'PIK3CD', 'JAK2', 'SHC1', 'USP8', 'PIK3CB', 'ERBB2', 'NRAS', 'CDC42', 'NF2', 'SOS1', 'RAC1', 'PIK3R2', 'RAF1', 'DOCK7', 'MAPK1', 'PIK3R1', 'KRAS', 'PTPN11', 'GRB2', 'CHRNA1', 'PIK3CA', 'ERBB3', 'MAP2K1', 'NRG1', 'JUN', 'PPP3CB', 'PIK3R3', 'PRKACA']"
PID,PID_FOXM1_PATHWAY,"['FOXM1', 'GAS1', 'CENPF', 'SP1', 'PLK1', 'MYC', 'NFATC3', 'BRCA2', 'CDK1', 'CCNE1', 'EP300', 'CCND1', 'LAMA4', 'CENPA', 'CREBBP', 'CCNB2', 'SKP2', 'CDKN2A', 'BIRC5', 'XRCC1', 'CDC25B', 'CKS1B', 'AURKB', 'H2BC1', 'CCNA2', 'CENPB', 'CDK4', 'MMP2', 'FOS', 'RB1', 'CHEK2', 'CCNB1', 'ESR1', 'MAP2K1', 'ONECUT1', 'NEK2', 'CDK2', 'GSK3A', 'ETV5', 'TGFA']"
PID,PID_EPHA_FWDPATHWAY,"['EPHA3', 'LYN', 'ARHGEF15', 'PLCG1', 'NGEF', 'PIK3R5', 'BLK', 'EFNA1', 'ROCK1', 'EFNA5', 'RHOA', 'EPHA5', 'EPHA1', 'CRKL', 'SRC', 'EPHA8', 'VAV2', 'VAV3', 'HCK', 'EPHA2', 'CBL', 'FGR', 'YES1', 'CRK', 'FYN', 'EFNA2', 'LCK', 'CDK5', 'EPHA6', 'EPHA7', 'PIK3R6', 'EPHA4', 'PIK3CG', 'EFNA3']"
PID,PID_HIF1A_PATHWAY,"['HIF1A', 'OS9', 'VHL', 'HSP90AA1', 'HIF1AN', 'ELOC', 'NAA10', 'ELOB', 'COPS5', 'TP53', 'RBX1', 'ARNT', 'EGLN3', 'EGLN1', 'CUL2', 'CDKN2A', 'RACK1', 'HIF3A', 'EGLN2']"
PID,PID_BMP_PATHWAY,"['SMAD1', 'SKI', 'BMP7', 'GREM1', 'PPP1CA', 'SMAD9', 'XIAP', 'PPP1R15A', 'RGMA', 'SMURF2', 'FST', 'CTDSP1', 'SMAD4', 'SOSTDC1', 'CHRD', 'GSK3B', 'PPM1A', 'AHSG', 'HJV', 'BMPR1B', 'ZFYVE16', 'BMPR1A', 'CHRDL1', 'RGMB', 'NUP214', 'MAP3K7', 'MAPK1', 'BMP4', 'CTDSP2', 'BMP2', 'TAB1', 'CER1', 'SMAD6', 'CTDSPL', 'BMPR2', 'NOG', 'SMURF1', 'SMAD7', 'TAB2', 'BAMBI', 'SMAD5', 'BMP6']"
PID,PID_IL3_PATHWAY,"['PRKACG', 'SHC1', 'CISH', 'ID1', 'OSM', 'CNKSR1', 'PIM1', 'CEBPB', 'PTPN11', 'SRP9', 'GRB2', 'IL3', 'CSF2RB', 'HDAC1', 'IL3RA', 'JAK2', 'PRKACB', 'STAT5A', 'STAT5B', 'PRKACA', 'YWHAZ', 'PIK3CA', 'YWHAG', 'BCL2L1', 'GAB2', 'PIK3R1']"
PID,PID_IL6_7_PATHWAY,"['STAT3', 'CEBPB', 'A2M', 'GAB1', 'FOS', 'GAB2', 'PTPRE', 'TYK2', 'SOCS3', 'PIAS3', 'IL6ST', 'MYC', 'VAV1', 'MAPK14', 'IRF1', 'LMO4', 'HCK', 'PTPN11', 'FGG', 'MAP2K6', 'CRP', 'MAP2K4', 'HSP90B1', 'CEBPD', 'LBP', 'PRKCD', 'PIK3CA', 'JAK1', 'PIK3R1', 'FOXO1', 'JAK2', 'STAT1', 'JUN', 'IL6', 'TNFSF11', 'MAPK11', 'IL6R', 'TIMP1', 'PIAS1', 'GRB2', 'MITF', 'AKT1', 'RAC1', 'MCL1', 'SOS1', 'JUNB', 'BCL2L1']"
PID,PID_ECADHERIN_KERATINOCYTE_PATHWAY,"['JUP', 'CDH1', 'CTNNB1', 'CASR', 'RAC1', 'FMN1', 'PIK3R1', 'CTNND1', 'PIK3CA', 'AJUBA', 'EGFR', 'SRC', 'PIP5K1A', 'PLCG1', 'FYN', 'RHOA', 'VASP', 'AKT2', 'AKT1', 'ZYX', 'CTNNA1']"
PID,PID_ALK1_PATHWAY,"['MAPK1', 'FKBP1A', 'SMAD1', 'GDF2', 'TGFB1', 'ID1', 'TLX2', 'ACVR1', 'SMAD9', 'ACVR2B', 'CAV1', 'BMPR2', 'SMAD4', 'ARRB2', 'MAPK3', 'SMAD7', 'ACVR2A', 'ENG', 'ACVRL1', 'SMAD5', 'TGFB3', 'PPP1CA', 'INHBA', 'CSNK2B', 'TGFBR1', 'TGFBR2']"
PID,PID_PDGFRB_PATHWAY,"['SOS1', 'RAC1', 'BCAR1', 'ARPC4', 'MAPK1', 'HCK', 'FOS', 'PIK3R5', 'RAPGEF1', 'STAT5B', 'MYOCD', 'PAG1', 'WASF2', 'JUND', 'ARPC3', 'PPP2CA', 'FYN', 'MAPK10', 'YES1', 'GAB1', 'LRP1', 'DOK1', 'NCK2', 'BAIAP2', 'SLC9A3R1', 'ELK1', 'EPS8', 'PRKCA', 'PRKCD', 'CTTN', 'ARPC1B', 'DOCK4', 'ACTN4', 'PDGFRB', 'MAPK3', 'STAT1', 'VAV2', 'WASL', 'KRAS', 'LCK', 'ACTA2', 'YWHAQ', 'DNM2', 'ABI1', 'EIF2AK2', 'ARHGAP35', 'MAP2K2', 'ARAP1', 'JUN', 'CYFIP2', 'PIK3CA', 'RAB4A', 'PTPN11', 'RASA1', 'RAF1', 'PIN1', 'PIK3CG', 'SPHK1', 'ITGAV', 'ARPC5', 'PTPN1', 'PTPN2', 'PLCG1', 'PIK3R6', 'FGR', 'PIK3CB', 'ARHGDIA', 'YWHAH', 'PPP2R1A', 'PAK1', 'CRK', 'BRAF', 'MYC', 'SFN', 'YWHAE', 'SHC1', 'SRF', 'NCKAP1', 'AFDN', 'PRKCE', 'JAK2', 'S1PR1', 'NCK1', 'PTPRJ', 'BRK1', 'ACTR3', 'YWHAG', 'PTEN', 'NRAS', 'PPP2R2B', 'CSK', 'ACTR2', 'BLK', 'MAPK8', 'RPS6KA3', 'TAGLN', 'HRAS', 'ARPC2', 'YWHAZ', 'SIPA1', 'CBL', 'STAT3', 'GRB2', 'ITGB3', 'PDGFB', 'KSR1', 'PIK3R3', 'STAT5A', 'MAPK9', 'GRB10', 'SLA', 'RAP1B', 'SLC9A3R2', 'MAP2K7', 'MAP2K4', 'RHOA', 'MAP2K1', 'ABL1', 'LYN', 'SRC', 'RAP1A', 'PLA2G4A', 'YWHAB', 'USP6NL', 'PIK3R1', 'PIK3CD', 'RAB5A', 'IQGAP1', 'PIK3R2']"
PID,PID_TRKR_PATHWAY,"['DOCK1', 'ABL1', 'MAGED1', 'DNAJA3', 'RHOA', 'CRKL', 'TIAM1', 'NTRK3', 'MAPK1', 'HRAS', 'CRK', 'KRAS', 'RASGRF1', 'SH2B1', 'RHOG', 'CCND1', 'SOS1', 'NEDD4L', 'FRS2', 'RAPGEF1', 'EHD4', 'MAP2K1', 'RAC1', 'NTF4', 'PLCG1', 'GAB2', 'SQSTM1', 'GRB2', 'SHC3', 'RIT2', 'CDC42', 'PRKCI', 'NTRK1', 'RAP1B', 'STAT3', 'DNM1', 'PTPN11', 'RASA1', 'SHC2', 'ELMO1', 'NGFR', 'NTRK2', 'FRS3', 'PIK3CA', 'NRAS', 'BDNF', 'FAIM', 'PRKCZ', 'SHC1', 'NGF', 'MATK', 'NTF3', 'GAB1', 'MCF2L', 'PIK3R1', 'MAPK3', 'RGS19', 'RAP1A', 'RIT1', 'GIPC1', 'DYNLT1']"
PID,PID_TCR_JNK_PATHWAY,"['LCP2', 'CRK', 'JUN', 'MAP2K4', 'MAP3K8', 'LAT', 'PRKCB', 'MAP4K1', 'MAP3K1', 'DBNL', 'CRKL', 'GRAP2', 'MAPK8', 'MAP3K7']"
PID,PID_NEPHRIN_NEPH1_PATHWAY,"['AKT1', 'PIK3R1', 'KIRREL1', 'NCK1', 'RAC1', 'TRPC6', 'PRKCI', 'NPHS1', 'PARD6A', 'PIK3CD', 'PIK3R3', 'FYN', 'NPHS2', 'MAP2K4', 'F2RL2', 'PIK3CB', 'WASL', 'GRB2', 'TJP1', 'BAD', 'JUN', 'NCK2', 'CD2AP', 'MAPK8', 'PIK3CA', 'ARRB2', 'PIK3R2', 'PLCG1', 'PRKCZ', 'MAPK10', 'MAPK9']"
PID,PID_IL23_PATHWAY,"['IL1B', 'IL12RB1', 'IL17A', 'IL18RAP', 'IL2', 'ALOX12B', 'SOCS3', 'IL12B', 'CD4', 'IL6', 'TNF', 'PIK3CA', 'NFKBIA', 'PIK3R1', 'JAK2', 'ITGA3', 'STAT4', 'CXCL9', 'TYK2', 'STAT1', 'IL17F', 'CXCL1', 'IL18', 'NOS2', 'IL19', 'NFKB1', 'IL23R', 'STAT3', 'RELA', 'IL23A', 'STAT5A', 'IFNG', 'IL24', 'CCL2', 'MPO', 'CD3E', 'IL18R1']"
PID,PID_HIV_NEF_PATHWAY,"['BAG4', 'CFLAR', 'FAS', 'BID', 'CASP7', 'BIRC3', 'BCL2', 'MAP3K14', 'DAXX', 'MAPK8', 'CRADD', 'CASP3', 'CASP9', 'TNFRSF1A', 'FADD', 'APAF1', 'TRAF2', 'FASLG', 'TNF', 'CHUK', 'RIPK1', 'CASP8', 'CD247', 'DFFA', 'MAP3K5', 'CYCS', 'NFKB1', 'TRADD', 'RELA', 'CASP6', 'DFFB', 'CASP2', 'NFKBIA', 'MAP2K7', 'TRAF1']"
PID,PID_SYNDECAN_1_PATHWAY,"['COL9A3', 'COL11A2', 'COL6A3', 'COL8A2', 'SDCBP', 'PRKACA', 'MET', 'COL13A1', 'MAPK1', 'MAPK3', 'SDC1', 'COL7A1', 'MMP1', 'COL11A1', 'COL1A2', 'COL2A1', 'HPSE', 'COL5A2', 'PPIB', 'COL4A3', 'COL16A1', 'COL12A1', 'COL10A1', 'CASK', 'COL5A1', 'COL4A5', 'COL3A1', 'COL4A4', 'COL14A1', 'BSG', 'TGFB1', 'COL8A1', 'CCL5', 'MMP9', 'COL4A1', 'COL6A2', 'MMP7', 'COL15A1', 'COL6A1', 'LAMA5', 'COL9A1', 'HGF', 'COL9A2', 'COL1A1', 'COL17A1', 'COL4A6']"
PID,PID_P38_MK2_PATHWAY,"['SRF', 'YWHAB', 'HSPB1', 'MAPK11', 'YWHAQ', 'YWHAZ', 'LSP1', 'YWHAH', 'CDC25B', 'MAPKAPK3', 'TSC2', 'TH', 'YWHAE', 'MAPK14', 'RAF1', 'YWHAG', 'MAPKAPK2', 'CREB1', 'ETV1', 'SFN', 'TCF3']"
PID,PID_ERBB_NETWORK_PATHWAY,"['ERBB2', 'NRG4', 'NRG2', 'EGFR', 'HBEGF', 'AREG', 'BTC', 'TGFA', 'NRG3', 'ERBB4', 'EGF', 'HSP90AA1', 'NRG1', 'ERBB3', 'EREG']"
PID,PID_ALK2_PATHWAY,"['TLX2', 'BMP7', 'AMHR2', 'ACVR1', 'SMAD9', 'FKBP1A', 'BMPR2', 'SMAD5', 'SMAD4', 'AMH', 'SMAD1']"
PID,PID_PDGFRA_PATHWAY,"['PIK3CA', 'CAV1', 'CRKL', 'GRB2', 'RAPGEF1', 'PIK3R1', 'ITGAV', 'JAK1', 'SHF', 'IFNG', 'PLCG1', 'FOS', 'PDGFRA', 'SHC1', 'SHB', 'CAV3', 'JUN', 'CSNK2A1', 'ELK1', 'SRF', 'SOS1', 'CRK']"
PID,PID_P38_GAMMA_DELTA_PATHWAY,"['MAP2K3', 'MAP2K6', 'STMN1', 'EEF2K', 'MAP3K20', 'CCND1', 'MAPK13', 'SNTA1', 'MAPT', 'MAPK12', 'PKN1']"
PID,PID_IL8_CXCR2_PATHWAY,"['PIK3R6', 'FGR', 'RAB7A', 'AKT1', 'CXCR2', 'PRKCB', 'PLD2', 'ARRB1', 'PLCB1', 'HCK', 'GNB1', 'PRKCA', 'CXCL8', 'RAC2', 'PLCB2', 'PIK3CG', 'PPP2CA', 'ARRB2', 'PDPK1', 'LYN', 'ELMO1', 'GNG2', 'DOCK2', 'GNAI2', 'RAB5A', 'CBL', 'GNA14', 'GNA15', 'PLCB3', 'DNM1', 'PPP2R1A', 'VASP', 'RAB11A', 'PRKCG']"
PID,PID_HEDGEHOG_2PATHWAY,"['DHH', 'HHIP', 'CDON', 'STIL', 'PIK3CA', 'HHAT', 'AKT1', 'BOC', 'PTHLH', 'GLI2', 'LRPAP1', 'PTCH2', 'IHH', 'ARRB2', 'TGFB2', 'GAS1', 'SHH', 'GRK2', 'SMO', 'LRP2', 'PTCH1', 'PIK3R1']"
PID,PID_AR_NONGENOMIC_PATHWAY,"['GNB1', 'HRAS', 'MAP2K1', 'GNAI3', 'PLCB3', 'MAPK1', 'GNG2', 'PTK2', 'CREB1', 'PELP1', 'SRC', 'PLCG2', 'PLCG1', 'GNAI1', 'AKT1', 'GNAO1', 'RAC1', 'FOS', 'RAF1', 'AR', 'GNRH1', 'CDC42', 'GNAI2', 'MAP2K2', 'MAPK3', 'GNAZ', 'SHBG', 'PIK3R1', 'PLCB1', 'PIK3CA', 'PLCB2']"
PID,PID_ERBB1_INTERNALIZATION_PATHWAY,"['CHMP3', 'RAB5A', 'CDC42', 'SHC1', 'ZFYVE28', 'SPRY2', 'EGF', 'RAF1', 'PIK3CA', 'NRAS', 'AMPH', 'PTK2', 'PIK3R1', 'UBE2D2', 'EGFR', 'PIK3CB', 'HRAS', 'PIK3R2', 'EPS15', 'SH3KBP1', 'DNM1', 'LRIG1', 'SRC', 'UBE2D3', 'KRAS', 'SOS1', 'EPN1', 'SYNJ1', 'STAMBP', 'HGS', 'ARHGEF7', 'TSG101', 'SH3GL2', 'CBL', 'ITSN1', 'PIK3R3', 'USP8', 'PIK3CD', 'GRB2', 'CBLB', 'UBE2D1']"
PID,PID_HEDGEHOG_GLI_PATHWAY,"['SUFU', 'HDAC2', 'SSPOP', 'PIAS1', 'GLI2', 'HDAC1', 'GNB1', 'SMO', 'RAB23', 'RBBP7', 'GLI3', 'CSNK1G3', 'KIF3A', 'CREBBP', 'GLI1', 'STK36', 'GNG2', 'GSK3B', 'FBXW11', 'GNAI3', 'SHH', 'CSNK1G2', 'XPO1', 'CSNK1E', 'IFT88', 'CSNK1D', 'MAP2K1', 'MTSS1', 'PRKCD', 'CSNK1A1', 'AKT1', 'GNAZ', 'IFT172', 'GNAI1', 'PTCH1', 'LGALS3', 'CSNK1G1', 'FOXA2', 'SIN3B', 'RBBP4', 'SIN3A', 'GNAO1', 'SPOP', 'ARRB2', 'GNAI2', 'SAP30', 'SAP18', 'PRKACA']"
PID,PID_CASPASE_PATHWAY,"['SPTAN1', 'APP', 'CASP7', 'TRAF2', 'RIPK1', 'CASP1', 'DIABLO', 'CASP4', 'CYCS', 'ARHGDIB', 'BIRC2', 'CASP10', 'ACTA1', 'VIM', 'MADD', 'LMNA', 'GZMB', 'GSN', 'GAS2', 'BCL2', 'BIRC3', 'CFL2', 'BID', 'SATB1', 'TOP1', 'PRF1', 'CRADD', 'LMNB1', 'NUMA1', 'XIAP', 'TRADD', 'TNFRSF1A', 'SREBF1', 'CASP2', 'BAX', 'DFFB', 'KRT18', 'CASP8', 'LMNB2', 'TNF', 'CASP6', 'MAP3K1', 'DFFA', 'APAF1', 'LIMK1', 'PTK2', 'CASP9', 'TFAP2A', 'CASP3', 'PARP1', 'PIDD1']"
PID,PID_CXCR3_PATHWAY,"['MAP2K1', 'PIK3CD', 'GNAI2', 'MAP2K6', 'ARRB1', 'GNAZ', 'PIK3CB', 'MAPK11', 'PF4', 'PIK3R2', 'RICTOR', 'CXCR3', 'AKT1', 'DNM1', 'MAPK14', 'MLST8', 'MAP2K2', 'ITGB2', 'CXCL9', 'KRAS', 'MAPK3', 'RAF1', 'MTOR', 'CXCL10', 'ITGAL', 'CXCL13', 'MAPKAP1', 'GNB1', 'PIK3CA', 'SRC', 'MAPK1', 'MAP2K3', 'PIK3R3', 'HRAS', 'PIK3R1', 'GNAO1', 'GNAI1', 'GNG2', 'CXCL11', 'CCL11', 'GNAI3', 'NRAS', 'PDPK1']"
PID,PID_BETA_CATENIN_NUC_PATHWAY,"['DKK4', 'CTNNB1', 'EP300', 'CXCL8', 'AR', 'SNAI2', 'YWHAZ', 'KRT1', 'TRRAP', 'TCF4', 'SALL4', 'SMARCA4', 'FGF4', 'TLE4', 'YWHAQ', 'TBL1XR1', 'TCF7L1', 'MYF5', 'TCF7L2', 'JUN', 'ADCY7', 'YWHAG', 'INCENP', 'DKK1', 'CHD8', 'YWHAB', 'PITX2', 'CDX1', 'RUVBL2', 'AXIN2', 'SSPOP', 'KCNIP4', 'MITF', 'ID2', 'YWHAE', 'MED12', 'MMP9', 'TBL1X', 'CTNNBIP1', 'SFN', 'MDFIC', 'CDX4', 'MMP2', 'CCN1', 'TERT', 'NCOA2', 'MT-CO2', 'ZCCHC12', 'CBY1', 'CTBP1', 'HBP1', 'NEUROG1', 'CUL1', 'SKP1', 'CDKN2A', 'TNIK', 'TCF7', 'TLE5', 'TLE1', 'TLE2', 'HDAC2', 'BCL9', 'CCND1', 'MYOG', 'VCAN', 'LEF1', 'YWHAH', 'XPO1', 'MYC', 'KLF4', 'CDH1', 'DVL3', 'TBXT', 'SP5', 'CAMK4', 'HDAC1', 'CACNA1G', 'APC', 'IGF2BP1', 'CCND2']"
PID,PID_VEGFR1_PATHWAY,"['RASA1', 'PIK3R1', 'MAPK3', 'PRKCA', 'NCK1', 'AKT1', 'CBL', 'FLT1', 'PIK3CA', 'NRP2', 'CD2AP', 'PLCG1', 'VEGFA', 'SHC2', 'VEGFB', 'PRKCB', 'MAPK1', 'PDPK1', 'NOS3', 'HIF1A', 'PRKACA', 'PGF', 'CAV1', 'PTPN11', 'HSP90AA1', 'NRP1']"
PID,PID_SMAD2_3PATHWAY,"['PIAS4', 'MAP3K1', 'UBE2I', 'SMAD2', 'PPM1A', 'CTDSPL', 'CTDSP1', 'MAPK3', 'KPNB1', 'CTDSP2', 'SMAD3', 'NUP214', 'SMAD4', 'MAPK1', 'KPNA2', 'NUP153']"
PID,PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,"['PTGS2', 'MITF', 'KRT8', 'MEF2A', 'SLC9A1', 'ESR1', 'RPS6KA4', 'KRT19', 'MAPKAPK2', 'ATF2', 'MAPK11', 'JUN', 'GDI1', 'HSPB1', 'CEBPB', 'MAPKAPK5', 'ATF6', 'MAPK14', 'HBP1', 'CSNK2B', 'MKNK1', 'PLA2G4A', 'RPS6KA5', 'DDIT3', 'NOS2', 'EIF4E', 'EIF4EBP1', 'MAPKAPK3', 'ATF1', 'USF1', 'TP53', 'MEF2C', 'RAB5A', 'CSNK2A1', 'PPARGC1A', 'CREB1', 'CSNK2A2', 'ELK4']"
PID,PID_KIT_PATHWAY,"['MAPK3', 'PIK3C2B', 'HRAS', 'PTPN11', 'MAPK8', 'GRB10', 'BCL2', 'VAV1', 'PIK3R1', 'SOCS1', 'RPS6KB1', 'EPO', 'RAF1', 'GRAP2', 'AKT1', 'FOXO3', 'SHC1', 'TEC', 'JAK2', 'CBL', 'SPRED1', 'KIT', 'MAP4K1', 'PTEN', 'GAB1', 'GRB2', 'CREBBP', 'CRKL', 'SH2B2', 'GSK3B', 'EPOR', 'PIK3CA', 'SH2B3', 'STAT5A', 'LYN', 'PTPRO', 'PTPN6', 'FER', 'KITLG', 'MAP2K2', 'MAP2K1', 'PDPK1', 'SNAI2', 'SOS1', 'BAD', 'SPRED2', 'STAT3', 'DOK1', 'STAP1', 'MITF', 'MATK', 'STAT1']"
PID,PID_ECADHERIN_STABILIZATION_PATHWAY,"['CTNNB1', 'CDH1', 'AQP5', 'EGF', 'ENAH', 'AFDN', 'CTNNA1', 'VCL', 'DIAPH1', 'NCKAP1', 'VASP', 'NCK1', 'EXOC3', 'ZYX', 'PLEKHA7', 'IGF1R', 'MET', 'STX4', 'HGF', 'ROCK1', 'EXOC4', 'LIMA1', 'MGAT3', 'NECTIN2', 'RHOA', 'ABI1', 'CTNND1', 'PIP5K1C', 'CAMSAP3', 'MYL2', 'EGFR', 'ACTN1', 'KIFC3', 'CYFIP2', 'LPP', 'MYO6', 'GIT1', 'EPHA2', 'EFNA1', 'ARF6', 'AQP3']"
PID,PID_EPO_PATHWAY,"['PIK3R1', 'BTK', 'SH2B3', 'RAP1A', 'IRS2', 'TRPC6', 'RAPGEF1', 'GAB1', 'CRKL', 'PTPN11', 'PLCG1', 'SOS1', 'BCL2', 'CBL', 'GRB2', 'SOCS3', 'PTPN6', 'NFKB1', 'EPO', 'VAV2', 'SHC1', 'STAT5B', 'BCL2L1', 'STAT5A', 'STAT1', 'EPOR', 'TEC', 'PLCG2', 'JAK2', 'HRAS', 'MAPK8', 'MAPK14', 'LYN']"
PID,PID_IL2_STAT5_PATHWAY,"['IL2RA', 'CCND2', 'IL4', 'PRF1', 'BCL2L1', 'GRB2', 'LCK', 'CCND3', 'JAK1', 'JAK3', 'ELF1', 'STAT5B', 'BCL2', 'PTPN11', 'SOS1', 'SHC1', 'CCNA2', 'LTA', 'IL2', 'PIK3CA', 'FOXP3', 'MYC', 'GAB2', 'IL2RG', 'STAT5A', 'PIK3R1', 'CDK6', 'SP1', 'FASLG', 'IL2RB']"
PID,PID_TCR_CALCIUM_PATHWAY,"['IL4', 'PPP3R1', 'RCAN2', 'IL2', 'NFATC2', 'PRKACA', 'POU2F1', 'IL3', 'PTGS2', 'FOSL1', 'FASLG', 'BATF3', 'PPP3CA', 'CD40LG', 'NFATC1', 'FOS', 'RCAN1', 'FKBP1A', 'AKAP5', 'JUNB', 'CSF2', 'PPP3CB', 'NFATC3', 'IL2RA', 'CABIN1', 'IFNG', 'CHP1', 'JUN']"
PID,PID_DELTA_NP63_PATHWAY,"['TP63', 'WWP1', 'GPX2', 'CEBPD', 'POU2F2', 'STXBP4', 'ATM', 'FOSL2', 'RRAD', 'VDR', 'GSK3B', 'PPP2R5A', 'MDM2', 'RACK1', 'NRG1', 'PERP', 'CDKN2A', 'SEC14L2', 'IGFBP3', 'CCNB2', 'TCF7L1', 'MRE11', 'ITGA3', 'TBXT', 'ITCH', 'HES1', 'BDKRB2', 'FASN', 'YAP1', 'SFN', 'ADRM1', 'DLX6', 'TOP2A', 'HELLS', 'BRCA2', 'RUNX1', 'KRT14', 'AXL', 'NOTCH1', 'IL1A', 'KRT5', 'DLX5', 'COL5A1', 'FBXW7', 'ADA', 'RAB38', 'HBP1']"
PID,PID_VEGFR1_2_PATHWAY,"['MAPK1', 'AKAP1', 'MAP2K2', 'ROCK1', 'PRKAA1', 'PTK2', 'MAP2K6', 'PRKCA', 'KDR', 'CDH5', 'MAPK14', 'FYN', 'GRB10', 'GRB2', 'VEGFA', 'PIK3R1', 'CDC42', 'PTPRJ', 'HSP90AB1', 'PRKCB', 'MAPKAPK2', 'MAPK11', 'HGS', 'PTPN11', 'ARF1', 'MYOF', 'VCL', 'DNM2', 'ITGB3', 'PTPN6', 'NCK1', 'FBXW11', 'CBL', 'PDPK1', 'MAP2K1', 'PRKACA', 'RAF1', 'NCK2', 'SH2D2A', 'PRKAB1', 'PRKAG1', 'VTN', 'MAP2K3', 'FLT1', 'CAMKK2', 'PIK3CA', 'PTK2B', 'PRKAA2', 'MAPK3', 'PLCG1', 'IQGAP1', 'SRC', 'ITGAV', 'GAB1', 'CTNNB1', 'PRKCD', 'AKT1', 'PTPN2', 'PAK2', 'CTNNA1', 'SHB', 'HSP90AA1', 'PXN', 'NOS3', 'NEDD4', 'CAV1', 'BRAF', 'FES', 'RHOA']"
PID,PID_THROMBIN_PAR1_PATHWAY,"['PLCB2', 'GRK3', 'F2', 'PLCB1', 'GNA11', 'PRKCA', 'GNA13', 'ZYX', 'GNA14', 'VASP', 'PIK3CA', 'ARHGDIA', 'DNM2', 'ARHGEF1', 'GNAI2', 'GNA15', 'GNAQ', 'SNX2', 'GNAI1', 'GNB1', 'GNAZ', 'GNG2', 'NOS3', 'PRKCB', 'ROCK1', 'MYL2', 'RHOA', 'ROCK2', 'GNA12', 'AKAP13', 'TRPC6', 'PKN1', 'PRKCD', 'PRKCG', 'F2RL2', 'GNAI3', 'ARRB1', 'PIK3R1', 'F2R', 'DNM1', 'GNAO1', 'PLCB3', 'SNX1']"
